"","Code","country","century","decade","year","height.cm","year_decade","height.in"
"357",642,"Romania","18","8","0",164.1,"1880",64.6062992125984
"358",643,"Russian Federation","18","8","0",166.6,"1880",65.5905511811024
"359",703,"Slovakia","18","8","0",165.8,"1880",65.2755905511811
"360",804,"Ukraine","18","8","0",165.4,"1880",65.1181102362205
"361",124,"Canada","18","8","0",171.2,"1880",67.4015748031496
"362",840,"United States of America","18","8","0",169.5,"1880",66.7322834645669
"363",192,"Cuba","18","8","0",166.8,"1880",65.6692913385827
"364",484,"Mexico","18","8","0",163.9,"1880",64.5275590551181
"365",32,"Argentina","18","8","0",167.565,"1880",65.9704724409449
"366",76,"Brazil","18","8","0",166.1,"1880",65.3937007874016
"367",170,"Colombia","18","8","0",162.08,"1880",63.8110236220473
"368",328,"Guyana","18","8","0",159.16,"1880",62.6614173228346
"369",604,"Peru","18","8","0",161.5,"1880",63.5826771653543
"370",858,"Uruguay","18","8","0",164.98,"1880",64.9527559055118
"371",53,"Australia and New Zealand","18","8","0",171.1,"1880",67.3622047244095
"372",36,"Australia","18","8","0",171.1,"1880",67.3622047244095
"373",554,"New Zealand","18","8","0",172.7,"1880",67.992125984252
"374",598,"Papua New Guinea","18","8","0",152.359,"1880",59.9838582677165
"375",4,"Afghanistan","18","8","0",165.69,"1880",65.2322834645669
"376",50,"Bangladesh","18","8","0",162.061,"1880",63.8035433070866
"377",356,"India","18","8","0",162.427,"1880",63.9476377952756
"378",364,"Iran (Islamic Republic of)","18","8","0",165.19,"1880",65.0354330708661
"379",524,"Nepal","18","8","0",162.433,"1880",63.95
"380",156,"China","18","8","0",165.3,"1880",65.0787401574803
"381",408,"Democratic People's Republic of Korea","18","8","0",160.1,"1880",63.0314960629921
"382",392,"Japan","18","8","0",157.79,"1880",62.1220472440945
"383",410,"Republic of Korea","18","8","0",160.1,"1880",63.0314960629921
"384",116,"Cambodia","18","8","0",161.7,"1880",63.6614173228346
"385",360,"Indonesia","18","8","0",158.58,"1880",62.4330708661417
"386",104,"Myanmar","18","8","0",160.698,"1880",63.2669291338583
"387",608,"Philippines","18","8","0",158.9,"1880",62.5590551181102
"388",764,"Thailand","18","8","0",162.3,"1880",63.8976377952756
"389",704,"Viet Nam","18","8","0",157.7,"1880",62.0866141732283
"390",196,"Cyprus","18","8","0",169.086,"1880",66.5692913385827
"391",368,"Iraq","18","8","0",168.37,"1880",66.2874015748032
"392",760,"Syrian Arab Republic","18","8","0",162.2,"1880",63.8582677165354
"393",792,"Turkey","18","8","0",167.414,"1880",65.9110236220472
"394",886,"Yemen (until 1990)","18","8","0",160.77,"1880",63.2952755905512
"395",887,"Yemen","18","8","0",160.77,"1880",63.2952755905512
"396",417,"Kyrgyzstan","18","8","0",165.26,"1880",65.0629921259843
"397",762,"Tajikistan","18","8","0",166.6,"1880",65.5905511811024
"398",818,"Egypt","18","8","0",162.99,"1880",64.1692913385827
"399",504,"Morocco","18","8","0",168.6,"1880",66.3779527559055
"400",729,"Sudan (North)","18","8","0",169.865,"1880",66.8759842519685
"401",736,"Sudan (until 2011)","18","8","0",169.865,"1880",66.8759842519685
"402",854,"Burkina Faso","18","8","0",171.463,"1880",67.5051181102362
"403",288,"Ghana","18","8","0",167.8,"1880",66.0629921259843
"404",466,"Mali","18","8","0",171.043,"1880",67.3397637795276
"405",562,"Niger","18","8","0",173,"1880",68.1102362204724
"406",566,"Nigeria","18","8","0",167.873,"1880",66.0917322834646
