unitid,year,fips,race,sex,completers
110194,2015,6,9,99,0
110194,2015,6,1,1,3
110194,2015,6,1,2,0
110219,2014,6,7,1,4
110219,2014,6,7,2,7
110219,2014,6,5,99,0
110219,2014,6,4,1,1
110219,2014,6,4,2,2
110219,2014,6,2,99,36
110219,2014,6,3,1,7
110219,2014,6,3,2,10
110219,2014,6,6,99,0
110219,2014,6,8,1,0
110219,2014,6,8,2,0
110219,2014,6,99,99,177
110219,2014,6,9,1,20
110219,2014,6,9,2,11
110219,2014,6,1,99,79
110219,2015,6,7,99,8
110219,2015,6,5,1,0
110219,2015,6,5,2,3
110219,2015,6,4,99,1
110219,2015,6,2,1,32
110219,2015,6,2,2,25
110219,2015,6,3,99,19
110219,2015,6,6,1,1
110219,2015,6,6,2,1
110219,2015,6,8,99,0
110219,2015,6,99,1,105
110219,2015,6,99,2,135
110219,2015,6,9,99,45
110219,2015,6,1,1,41
110219,2015,6,1,2,64
110246,2014,6,7,1,11
110246,2014,6,7,2,4
110246,2014,6,5,99,34
110246,2014,6,4,1,49
110246,2014,6,4,2,62
110246,2014,6,2,99,50
110246,2014,6,3,1,130
110246,2014,6,3,2,152
110246,2014,6,6,99,6
110246,2014,6,8,1,18
110246,2014,6,8,2,22
110246,2014,6,99,99,1848
110246,2014,6,9,1,27
110246,2014,6,9,2,24
110246,2014,6,1,99,1259
110246,2015,6,7,99,34
110246,2015,6,5,1,13
110246,2015,6,5,2,10
110246,2015,6,4,99,108
110246,2015,6,2,1,23
110246,2015,6,2,2,12
110246,2015,6,3,99,338
110246,2015,6,6,1,7
110246,2015,6,6,2,2
110246,2015,6,8,99,34
110246,2015,6,99,1,934
110246,2015,6,99,2,977
110246,2015,6,9,99,80
110246,2015,6,1,1,633
110246,2015,6,1,2,617
110307,2014,6,7,1,0
110307,2014,6,7,2,6
110307,2014,6,5,99,0
110307,2014,6,4,1,1
110307,2014,6,4,2,3
110307,2014,6,2,99,16
110307,2014,6,3,1,2
110307,2014,6,3,2,17
110307,2014,6,6,99,0
110307,2014,6,8,1,0
110307,2014,6,8,2,0
110307,2014,6,99,99,106
110307,2014,6,9,1,1
110307,2014,6,9,2,5
110307,2014,6,1,99,55
110307,2015,6,7,99,5
110307,2015,6,5,1,0
110307,2015,6,5,2,2
110307,2015,6,4,99,2
110307,2015,6,2,1,4
110307,2015,6,2,2,6
110307,2015,6,3,99,15
110307,2015,6,6,1,0
110307,2015,6,6,2,0
110307,2015,6,8,99,0
110307,2015,6,99,1,24
110307,2015,6,99,2,73
110307,2015,6,9,99,7
110307,2015,6,1,1,12
110307,2015,6,1,2,44
110316,2014,6,7,1,4
110316,2014,6,7,2,18
110316,2014,6,5,99,0
110316,2014,6,4,1,4
110316,2014,6,4,2,18
110316,2014,6,2,99,22
110316,2014,6,3,1,6
110316,2014,6,3,2,27
110316,2014,6,6,99,2
110316,2014,6,8,1,8
110316,2014,6,8,2,14
110316,2014,6,99,99,348
110316,2014,6,9,1,3
110316,2014,6,9,2,11
110316,2014,6,1,99,211
110316,2015,6,7,99,18
110316,2015,6,5,1,0
110316,2015,6,5,2,2
110316,2015,6,4,99,25
110316,2015,6,2,1,4
110316,2015,6,2,2,13
110316,2015,6,3,99,47
110316,2015,6,6,1,0
110316,2015,6,6,2,2
110316,2015,6,8,99,21
110316,2015,6,99,1,90
110316,2015,6,99,2,291
110316,2015,6,9,99,18
110316,2015,6,1,1,61
110316,2015,6,1,2,170
110334,2014,6,7,1,20
110334,2014,6,7,2,20
110334,2014,6,5,99,9
110334,2014,6,4,1,17
110334,2014,6,4,2,24
110334,2014,6,2,99,14
110334,2014,6,3,1,130
110334,2014,6,3,2,287
110334,2014,6,6,99,4
110334,2014,6,8,1,7
110334,2014,6,8,2,5
110334,2014,6,99,99,1165
110334,2014,6,9,1,6
110334,2014,6,9,2,17
110334,2014,6,1,99,605
110334,2015,6,7,99,56
110334,2015,6,5,1,1
110334,2015,6,5,2,5
110334,2015,6,4,99,40
110334,2015,6,2,1,3
110334,2015,6,2,2,5
110334,2015,6,3,99,474
110334,2015,6,6,1,0
110334,2015,6,6,2,1
110334,2015,6,8,99,11
110334,2015,6,99,1,433
110334,2015,6,99,2,778
110334,2015,6,9,99,14
110334,2015,6,1,1,225
110334,2015,6,1,2,376
110361,2014,6,7,1,7
110361,2014,6,7,2,23
110361,2014,6,5,99,12
110361,2014,6,4,1,34
110361,2014,6,4,2,54
110361,2014,6,2,99,165
110361,2014,6,3,1,118
110361,2014,6,3,2,341
110361,2014,6,6,99,11
110361,2014,6,8,1,8
110361,2014,6,8,2,26
110361,2014,6,99,99,1752
110361,2014,6,9,1,46
110361,2014,6,9,2,62
110361,2014,6,1,99,845
110361,2015,6,7,99,56
110361,2015,6,5,1,5
110361,2015,6,5,2,7
110361,2015,6,4,99,105
110361,2015,6,2,1,43
110361,2015,6,2,2,109
110361,2015,6,3,99,581
110361,2015,6,6,1,1
110361,2015,6,6,2,4
110361,2015,6,8,99,39
110361,2015,6,99,1,622
110361,2015,6,99,2,1337
110361,2015,6,9,99,121
110361,2015,6,1,1,304
110361,2015,6,1,2,584
110370,2014,6,7,1,0
110370,2014,6,7,2,0
110370,2014,6,5,99,2
110370,2014,6,4,1,30
110370,2014,6,4,2,41
110370,2014,6,2,99,20
110370,2014,6,3,1,24
110370,2014,6,3,2,24
110370,2014,6,6,99,4
110370,2014,6,8,1,44
110370,2014,6,8,2,75
110370,2014,6,99,99,478
110370,2014,6,9,1,17
110370,2014,6,9,2,31
110370,2014,6,1,99,166
110370,2015,6,7,99,0
110370,2015,6,5,1,3
110370,2015,6,5,2,2
110370,2015,6,4,99,55
110370,2015,6,2,1,5
110370,2015,6,2,2,11
110370,2015,6,3,99,66
110370,2015,6,6,1,0
110370,2015,6,6,2,2
110370,2015,6,8,99,120
110370,2015,6,99,1,176
110370,2015,6,99,2,289
110370,2015,6,9,99,38
110370,2015,6,1,1,71
110370,2015,6,1,2,92
110398,2014,6,7,1,6
110398,2014,6,7,2,7
110398,2014,6,5,99,1
110398,2014,6,4,1,34
110398,2014,6,4,2,37
110398,2014,6,2,99,17
110398,2014,6,3,1,23
110398,2014,6,3,2,22
110398,2014,6,6,99,1
110398,2014,6,8,1,16
110398,2014,6,8,2,19
110398,2014,6,99,99,351
110398,2014,6,9,1,17
110398,2014,6,9,2,18
110398,2014,6,1,99,133
110398,2015,6,7,99,10
110398,2015,6,5,1,0
110398,2015,6,5,2,2
110398,2015,6,4,99,56
110398,2015,6,2,1,8
110398,2015,6,2,2,8
110398,2015,6,3,99,42
110398,2015,6,6,1,1
110398,2015,6,6,2,1
110398,2015,6,8,99,38
110398,2015,6,99,1,150
110398,2015,6,99,2,182
110398,2015,6,9,99,36
110398,2015,6,1,1,61
110398,2015,6,1,2,69
